date,state,parlimen,dun,sex,age,ethnicity,population
2024-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,female,overall,overall,8.7
2024-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,male,overall,overall,8.4
2020-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,overall,19.9
2020-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,citizen,19.2
2020-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,noncitizen,0.7
2020-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,female,overall,overall,9.9
2020-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,male,overall,overall,10.0
2021-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,overall,20.1
2021-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,citizen,overall,19.3
2021-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,noncitizen,overall,0.7
2021-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,female,overall,overall,10.0
2021-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,male,overall,overall,10.1
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,overall,20.2
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,citizen,overall,19.4
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,noncitizen,overall,0.8
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,female,overall,overall,10.1
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,male,overall,overall,10.2
2023-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,overall,20.5
2023-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,citizen,overall,19.5
2023-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,noncitizen,overall,1.0
2023-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,female,overall,overall,10.2
2023-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,male,overall,overall,10.3
2024-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,overall,overall,20.7
2024-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,citizen,overall,19.5
2024-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,both,noncitizen,overall,1.2
2024-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,female,overall,overall,10.3
2024-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,male,overall,overall,10.4
2020-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,overall,16.1
2020-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,citizen,15.9
2020-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,noncitizen,0.2
2020-01-01,Perlis,P.002 Kangar,N.10 Kayang,female,overall,overall,8.2
2020-01-01,Perlis,P.002 Kangar,N.10 Kayang,male,overall,overall,8.0
2021-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,overall,16.3
2021-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,citizen,overall,16.0
2021-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,noncitizen,overall,0.2
2021-01-01,Perlis,P.002 Kangar,N.10 Kayang,female,overall,overall,8.2
2021-01-01,Perlis,P.002 Kangar,N.10 Kayang,male,overall,overall,8.0
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,overall,16.4
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,citizen,overall,16.1
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,noncitizen,overall,0.3
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,female,overall,overall,8.3
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,male,overall,overall,8.1
2023-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,overall,16.6
2023-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,citizen,overall,16.3
2023-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,noncitizen,overall,0.3
2023-01-01,Perlis,P.002 Kangar,N.10 Kayang,female,overall,overall,8.4
2023-01-01,Perlis,P.002 Kangar,N.10 Kayang,male,overall,overall,8.2
2024-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,overall,overall,16.8
2024-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,citizen,overall,16.4
2024-01-01,Perlis,P.002 Kangar,N.10 Kayang,both,noncitizen,overall,0.4
2024-01-01,Perlis,P.002 Kangar,N.10 Kayang,female,overall,overall,8.5
2024-01-01,Perlis,P.002 Kangar,N.10 Kayang,male,overall,overall,8.3
2020-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,overall,39.6
2020-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,citizen,39.4
2020-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,noncitizen,0.3
2020-01-01,Perlis,P.003 Arau,N.11 Pauh,female,overall,overall,20.2
2020-01-01,Perlis,P.003 Arau,N.11 Pauh,male,overall,overall,19.4
2021-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,overall,40.0
2021-01-01,Perlis,P.003 Arau,N.11 Pauh,both,citizen,overall,39.7
2021-01-01,Perlis,P.003 Arau,N.11 Pauh,both,noncitizen,overall,0.3
2021-01-01,Perlis,P.003 Arau,N.11 Pauh,female,overall,overall,20.4
2021-01-01,Perlis,P.003 Arau,N.11 Pauh,male,overall,overall,19.5
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,overall,40.3
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,both,citizen,overall,40.0
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,both,noncitizen,overall,0.3
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,female,overall,overall,20.6
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,male,overall,overall,19.7
2023-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,overall,40.8
2023-01-01,Perlis,P.003 Arau,N.11 Pauh,both,citizen,overall,40.3
2023-01-01,Perlis,P.003 Arau,N.11 Pauh,both,noncitizen,overall,0.5
2023-01-01,Perlis,P.003 Arau,N.11 Pauh,female,overall,overall,20.9
2023-01-01,Perlis,P.003 Arau,N.11 Pauh,male,overall,overall,19.9
2024-01-01,Perlis,P.003 Arau,N.11 Pauh,both,overall,overall,41.3
2024-01-01,Perlis,P.003 Arau,N.11 Pauh,both,citizen,overall,40.6
2024-01-01,Perlis,P.003 Arau,N.11 Pauh,both,noncitizen,overall,0.7
2024-01-01,Perlis,P.003 Arau,N.11 Pauh,female,overall,overall,21.1
2024-01-01,Perlis,P.003 Arau,N.11 Pauh,male,overall,overall,20.1
2020-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,overall,20.6
2020-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,citizen,19.7
2020-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,noncitizen,0.9
2020-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,female,overall,overall,10.4
2020-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,male,overall,overall,10.2
2021-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,overall,20.8
2021-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,citizen,overall,19.7
2021-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,noncitizen,overall,1.1
2021-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,female,overall,overall,10.5
2021-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,male,overall,overall,10.3
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,overall,21.0
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,citizen,overall,19.8
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,noncitizen,overall,1.2
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,female,overall,overall,10.6
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,male,overall,overall,10.4
