date,state,parlimen,sex,age,ethnicity,population
2021-01-01,Kedah,P.015 Sungai Petani,female,overall,overall,134.1
2021-01-01,Kedah,P.015 Sungai Petani,male,overall,overall,144.0
2022-01-01,Kedah,P.015 Sungai Petani,both,citizen,overall,257.6
2022-01-01,Kedah,P.015 Sungai Petani,both,noncitizen,overall,22.1
2022-01-01,Kedah,P.015 Sungai Petani,both,overall,overall,279.5
2022-01-01,Kedah,P.015 Sungai Petani,female,overall,overall,134.9
2022-01-01,Kedah,P.015 Sungai Petani,male,overall,overall,144.6
2023-01-01,Kedah,P.015 Sungai Petani,both,citizen,overall,258.5
2023-01-01,Kedah,P.015 Sungai Petani,both,noncitizen,overall,24.5
2023-01-01,Kedah,P.015 Sungai Petani,both,overall,overall,282.9
2023-01-01,Kedah,P.015 Sungai Petani,female,overall,overall,136.3
2023-01-01,Kedah,P.015 Sungai Petani,male,overall,overall,146.7
2024-01-01,Kedah,P.015 Sungai Petani,both,citizen,overall,259.3
2024-01-01,Kedah,P.015 Sungai Petani,both,noncitizen,overall,27.3
2024-01-01,Kedah,P.015 Sungai Petani,both,overall,overall,286.5
2024-01-01,Kedah,P.015 Sungai Petani,female,overall,overall,137.7
2024-01-01,Kedah,P.015 Sungai Petani,male,overall,overall,148.8
2020-01-01,Kedah,P.016 Baling,both,overall,overall,142.5
2020-01-01,Kedah,P.016 Baling,both,overall,citizen,139.7
2020-01-01,Kedah,P.016 Baling,both,overall,noncitizen,2.8
2020-01-01,Kedah,P.016 Baling,female,overall,overall,69.5
2020-01-01,Kedah,P.016 Baling,male,overall,overall,73.0
2021-01-01,Kedah,P.016 Baling,both,citizen,overall,141.2
2021-01-01,Kedah,P.016 Baling,both,noncitizen,overall,2.6
2021-01-01,Kedah,P.016 Baling,both,overall,overall,143.8
2021-01-01,Kedah,P.016 Baling,female,overall,overall,70.3
2021-01-01,Kedah,P.016 Baling,male,overall,overall,73.6
2022-01-01,Kedah,P.016 Baling,both,citizen,overall,142.0
2022-01-01,Kedah,P.016 Baling,both,noncitizen,overall,2.6
2022-01-01,Kedah,P.016 Baling,both,overall,overall,144.7
2022-01-01,Kedah,P.016 Baling,female,overall,overall,70.8
2022-01-01,Kedah,P.016 Baling,male,overall,overall,73.9
2023-01-01,Kedah,P.016 Baling,both,citizen,overall,143.6
2023-01-01,Kedah,P.016 Baling,both,noncitizen,overall,2.8
2023-01-01,Kedah,P.016 Baling,both,overall,overall,146.4
2023-01-01,Kedah,P.016 Baling,female,overall,overall,71.4
2023-01-01,Kedah,P.016 Baling,male,overall,overall,75.0
2024-01-01,Kedah,P.016 Baling,both,citizen,overall,145.0
