state,date,age_group,fertility_rate
Kelantan,2008-01-01,35-39,124.0
Kelantan,2008-01-01,40-44,48.0
Kelantan,2008-01-01,45-49,5.0
Kelantan,2008-01-01,tfr,3.61
Kelantan,2009-01-01,15-19,17.0
Kelantan,2009-01-01,20-24,109.0
Kelantan,2009-01-01,25-29,236.0
Kelantan,2009-01-01,30-34,195.0
Kelantan,2009-01-01,35-39,124.0
Kelantan,2009-01-01,40-44,46.0
Kelantan,2009-01-01,45-49,5.0
Kelantan,2009-01-01,tfr,3.66
Kelantan,2010-01-01,15-19,16.0
Kelantan,2010-01-01,20-24,107.0
Kelantan,2010-01-01,25-29,253.0
Kelantan,2010-01-01,30-34,193.0
Kelantan,2010-01-01,35-39,119.0
Kelantan,2010-01-01,40-44,43.0
Kelantan,2010-01-01,45-49,5.0
Kelantan,2010-01-01,tfr,3.68
Kelantan,2011-01-01,15-19,16.0
Kelantan,2011-01-01,20-24,96.0
Kelantan,2011-01-01,25-29,259.0
Kelantan,2011-01-01,30-34,213.0
Kelantan,2011-01-01,35-39,120.0
Kelantan,2011-01-01,40-44,45.0
Kelantan,2011-01-01,45-49,4.0
Kelantan,2011-01-01,tfr,3.77
Kelantan,2012-01-01,15-19,15.0
Kelantan,2012-01-01,20-24,83.0
Kelantan,2012-01-01,25-29,250.0
Kelantan,2012-01-01,30-34,205.0
Kelantan,2012-01-01,35-39,120.0
Kelantan,2012-01-01,40-44,44.0
Kelantan,2012-01-01,45-49,4.0
Kelantan,2012-01-01,tfr,3.6
Kelantan,2013-01-01,15-19,14.0
Kelantan,2013-01-01,20-24,72.0
Kelantan,2013-01-01,25-29,247.0
Kelantan,2013-01-01,30-34,198.0
Kelantan,2013-01-01,35-39,113.0
Kelantan,2013-01-01,40-44,40.0
Kelantan,2013-01-01,45-49,4.0
Kelantan,2013-01-01,tfr,3.44
Kelantan,2014-01-01,15-19,14.0
Kelantan,2014-01-01,20-24,71.0
Kelantan,2014-01-01,25-29,250.0
Kelantan,2014-01-01,30-34,215.0
Kelantan,2014-01-01,35-39,121.0
Kelantan,2014-01-01,40-44,40.0
Kelantan,2014-01-01,45-49,4.0
Kelantan,2014-01-01,tfr,3.57
Kelantan,2015-01-01,15-19,13.0
Kelantan,2015-01-01,20-24,64.0
Kelantan,2015-01-01,25-29,230.0
Kelantan,2015-01-01,30-34,212.0
Kelantan,2015-01-01,35-39,123.0
Kelantan,2015-01-01,40-44,38.0
Kelantan,2015-01-01,45-49,4.0
Kelantan,2015-01-01,tfr,3.42
Kelantan,2016-01-01,15-19,12.0
Kelantan,2016-01-01,20-24,61.0
Kelantan,2016-01-01,25-29,204.0
Kelantan,2016-01-01,30-34,211.0
Kelantan,2016-01-01,35-39,117.0
Kelantan,2016-01-01,40-44,38.0
Kelantan,2016-01-01,45-49,3.0
Kelantan,2016-01-01,tfr,3.23
Kelantan,2017-01-01,15-19,10.0
Kelantan,2017-01-01,20-24,61.0
Kelantan,2017-01-01,25-29,185.0
Kelantan,2017-01-01,30-34,214.0
Kelantan,2017-01-01,35-39,121.0
Kelantan,2017-01-01,40-44,38.0
Kelantan,2017-01-01,45-49,3.0
Kelantan,2017-01-01,tfr,3.16
Kelantan,2018-01-01,15-19,8.75
Kelantan,2018-01-01,20-24,55.05
Kelantan,2018-01-01,25-29,163.06
Kelantan,2018-01-01,30-34,209.28
Kelantan,2018-01-01,35-39,120.3
Kelantan,2018-01-01,40-44,39.78
Kelantan,2018-01-01,45-49,3.13
Kelantan,2018-01-01,tfr,3.0
Kelantan,2019-01-01,15-19,8.77
Kelantan,2019-01-01,20-24,52.96
Kelantan,2019-01-01,25-29,142.51
Kelantan,2019-01-01,30-34,192.28
Kelantan,2019-01-01,35-39,117.8
Kelantan,2019-01-01,40-44,36.95
Kelantan,2019-01-01,45-49,2.99
Kelantan,2019-01-01,tfr,2.77
Kelantan,2020-01-01,15-19,8.19
Kelantan,2020-01-01,20-24,50.94
Kelantan,2020-01-01,25-29,128.81
Kelantan,2020-01-01,30-34,185.59
Kelantan,2020-01-01,35-39,117.29
Kelantan,2020-01-01,40-44,37.61
Kelantan,2020-01-01,45-49,2.96
Kelantan,2020-01-01,tfr,2.66
Kelantan,2021-01-01,15-19,6.41
Kelantan,2021-01-01,20-24,47.67
Kelantan,2021-01-01,25-29,180.24
Kelantan,2021-01-01,30-34,183.38
Kelantan,2021-01-01,35-39,107.42
Kelantan,2021-01-01,40-44,38.16
Kelantan,2021-01-01,45-49,3.32
Kelantan,2021-01-01,tfr,2.83
Kelantan,2022-01-01,15-19,6.0
Kelantan,2022-01-01,20-24,47.0
Kelantan,2022-01-01,25-29,168.0
Kelantan,2022-01-01,30-34,171.0
Kelantan,2022-01-01,35-39,102.0
Kelantan,2022-01-01,40-44,35.0
Kelantan,2022-01-01,45-49,2.0
Kelantan,2022-01-01,tfr,2.65
Kelantan,2023-01-01,15-19,7.0
Kelantan,2023-01-01,20-24,44.0
Kelantan,2023-01-01,25-29,156.0
Kelantan,2023-01-01,30-34,187.0
Kelantan,2023-01-01,35-39,112.0
Kelantan,2023-01-01,40-44,35.0
Kelantan,2023-01-01,45-49,2.0
Kelantan,2023-01-01,tfr,2.72
Kelantan,2024-01-01,15-19,7.0
Kelantan,2024-01-01,20-24,36.0
Kelantan,2024-01-01,25-29,124.0
Kelantan,2024-01-01,30-34,162.0
Kelantan,2024-01-01,35-39,104.0
Kelantan,2024-01-01,40-44,33.0
Kelantan,2024-01-01,45-49,2.0
Kelantan,2024-01-01,tfr,2.3
Melaka,2001-01-01,15-19,10.0
Melaka,2001-01-01,20-24,89.0
Melaka,2001-01-01,25-29,197.0
Melaka,2001-01-01,30-34,168.0
Melaka,2001-01-01,35-39,94.0
Melaka,2001-01-01,40-44,27.0
Melaka,2001-01-01,45-49,2.0
Melaka,2001-01-01,tfr,2.94
Melaka,2002-01-01,15-19,8.0
Melaka,2002-01-01,20-24,82.0
Melaka,2002-01-01,25-29,193.0
Melaka,2002-01-01,30-34,154.0
Melaka,2002-01-01,35-39,88.0
Melaka,2002-01-01,40-44,26.0
Melaka,2002-01-01,45-49,2.0
Melaka,2002-01-01,tfr,2.77
Melaka,2003-01-01,15-19,9.0
Melaka,2003-01-01,20-24,76.0
Melaka,2003-01-01,25-29,191.0
Melaka,2003-01-01,30-34,156.0
Melaka,2003-01-01,35-39,88.0
Melaka,2003-01-01,40-44,23.0
Melaka,2003-01-01,45-49,2.0
Melaka,2003-01-01,tfr,2.72
Melaka,2004-01-01,15-19,8.0
Melaka,2004-01-01,20-24,72.0
Melaka,2004-01-01,25-29,184.0
Melaka,2004-01-01,30-34,152.0
Melaka,2004-01-01,35-39,79.0
Melaka,2004-01-01,40-44,24.0
Melaka,2004-01-01,45-49,1.0
Melaka,2004-01-01,tfr,2.6
Melaka,2005-01-01,15-19,7.0
Melaka,2005-01-01,20-24,68.0
Melaka,2005-01-01,25-29,180.0
Melaka,2005-01-01,30-34,147.0
Melaka,2005-01-01,35-39,75.0
Melaka,2005-01-01,40-44,19.0
Melaka,2005-01-01,45-49,2.0
Melaka,2005-01-01,tfr,2.5
Melaka,2006-01-01,15-19,7.0
Melaka,2006-01-01,20-24,66.0
