state,date,sex,ethnicity,abs
Johor,2024-01-01,both,other_noncitizen,
Johor,2024-01-01,female,other_noncitizen,
Johor,2024-01-01,male,other_noncitizen,
Johor,2024-01-01,both,overall,25031.0
Johor,2024-01-01,female,overall,10539.0
Johor,2024-01-01,male,overall,14492.0
Kedah,2000-01-01,both,bumi_malay,6672.0
Kedah,2000-01-01,female,bumi_malay,2971.0
Kedah,2000-01-01,male,bumi_malay,3701.0
Kedah,2000-01-01,both,bumi_other,8.0
Kedah,2000-01-01,female,bumi_other,5.0
Kedah,2000-01-01,male,bumi_other,3.0
Kedah,2000-01-01,both,chinese,1402.0
Kedah,2000-01-01,female,chinese,557.0
Kedah,2000-01-01,male,chinese,845.0
Kedah,2000-01-01,both,indian,646.0
Kedah,2000-01-01,female,indian,220.0
Kedah,2000-01-01,male,indian,426.0
Kedah,2000-01-01,both,other_citizen,128.0
Kedah,2000-01-01,female,other_citizen,58.0
Kedah,2000-01-01,male,other_citizen,70.0
Kedah,2000-01-01,both,other_noncitizen,126.0
Kedah,2000-01-01,female,other_noncitizen,61.0
Kedah,2000-01-01,male,other_noncitizen,65.0
Kedah,2000-01-01,both,overall,8982.0
Kedah,2000-01-01,female,overall,3872.0
Kedah,2000-01-01,male,overall,5110.0
Kedah,2001-01-01,both,bumi_malay,6881.0
Kedah,2001-01-01,female,bumi_malay,3033.0
Kedah,2001-01-01,male,bumi_malay,3848.0
Kedah,2001-01-01,both,bumi_other,7.0
Kedah,2001-01-01,female,bumi_other,3.0
Kedah,2001-01-01,male,bumi_other,4.0
Kedah,2001-01-01,both,chinese,1416.0
Kedah,2001-01-01,female,chinese,572.0
Kedah,2001-01-01,male,chinese,844.0
Kedah,2001-01-01,both,indian,628.0
Kedah,2001-01-01,female,indian,235.0
Kedah,2001-01-01,male,indian,393.0
Kedah,2001-01-01,both,other_citizen,149.0
Kedah,2001-01-01,female,other_citizen,73.0
Kedah,2001-01-01,male,other_citizen,76.0
Kedah,2001-01-01,both,other_noncitizen,116.0
Kedah,2001-01-01,female,other_noncitizen,63.0
Kedah,2001-01-01,male,other_noncitizen,53.0
Kedah,2001-01-01,both,overall,9197.0
Kedah,2001-01-01,female,overall,3979.0
Kedah,2001-01-01,male,overall,5218.0
Kedah,2002-01-01,both,bumi_malay,7346.0
Kedah,2002-01-01,female,bumi_malay,3225.0
Kedah,2002-01-01,male,bumi_malay,4121.0
Kedah,2002-01-01,both,bumi_other,7.0
Kedah,2002-01-01,female,bumi_other,2.0
Kedah,2002-01-01,male,bumi_other,5.0
Kedah,2002-01-01,both,chinese,1538.0
Kedah,2002-01-01,female,chinese,647.0
Kedah,2002-01-01,male,chinese,891.0
Kedah,2002-01-01,both,indian,756.0
Kedah,2002-01-01,female,indian,284.0
Kedah,2002-01-01,male,indian,472.0
Kedah,2002-01-01,both,other_citizen,151.0
Kedah,2002-01-01,female,other_citizen,65.0
Kedah,2002-01-01,male,other_citizen,86.0
Kedah,2002-01-01,both,other_noncitizen,127.0
Kedah,2002-01-01,female,other_noncitizen,74.0
Kedah,2002-01-01,male,other_noncitizen,53.0
Kedah,2002-01-01,both,overall,9925.0
Kedah,2002-01-01,female,overall,4297.0
Kedah,2002-01-01,male,overall,5628.0
Kedah,2003-01-01,both,bumi_malay,7783.0
Kedah,2003-01-01,female,bumi_malay,3503.0
Kedah,2003-01-01,male,bumi_malay,4280.0
Kedah,2003-01-01,both,bumi_other,7.0
Kedah,2003-01-01,female,bumi_other,3.0
Kedah,2003-01-01,male,bumi_other,4.0
Kedah,2003-01-01,both,chinese,1540.0
Kedah,2003-01-01,female,chinese,625.0
Kedah,2003-01-01,male,chinese,915.0
Kedah,2003-01-01,both,indian,682.0
Kedah,2003-01-01,female,indian,241.0
Kedah,2003-01-01,male,indian,441.0
Kedah,2003-01-01,both,other_citizen,165.0
Kedah,2003-01-01,female,other_citizen,66.0
Kedah,2003-01-01,male,other_citizen,99.0
Kedah,2003-01-01,both,other_noncitizen,134.0
Kedah,2003-01-01,female,other_noncitizen,73.0
Kedah,2003-01-01,male,other_noncitizen,61.0
Kedah,2003-01-01,both,overall,10311.0
Kedah,2003-01-01,female,overall,4511.0
Kedah,2003-01-01,male,overall,5800.0
