date,percentile,variable,income
2022-01-01,96,mean,21628.0
2022-01-01,97,mean,23727.0
2022-01-01,98,mean,26757.0
2022-01-01,99,mean,32670.0
2022-01-01,100,mean,50580.0
2022-01-01,1,median,1156.0
2022-01-01,2,median,1431.0
2022-01-01,3,median,1642.0
2022-01-01,4,median,1801.0
2022-01-01,5,median,1945.0
2022-01-01,6,median,2080.0
2022-01-01,7,median,2189.0
2022-01-01,8,median,2298.0
2022-01-01,9,median,2408.0
2022-01-01,10,median,2513.0
2022-01-01,11,median,2607.0
2022-01-01,12,median,2701.0
2022-01-01,13,median,2796.0
2022-01-01,14,median,2896.0
2022-01-01,15,median,2993.0
2022-01-01,16,median,3073.0
2022-01-01,17,median,3158.0
2022-01-01,18,median,3239.0
2022-01-01,19,median,3318.0
2022-01-01,20,median,3398.0
2022-01-01,21,median,3482.0
2022-01-01,22,median,3563.0
2022-01-01,23,median,3651.0
2022-01-01,24,median,3738.0
2022-01-01,25,median,3829.0
2022-01-01,26,median,3919.0
2022-01-01,27,median,4009.0
2022-01-01,28,median,4096.0
2022-01-01,29,median,4183.0
2022-01-01,30,median,4269.0
2022-01-01,31,median,4357.0
2022-01-01,32,median,4445.0
2022-01-01,33,median,4534.0
2022-01-01,34,median,4631.0
2022-01-01,35,median,4719.0
2022-01-01,36,median,4816.0
2022-01-01,37,median,4908.0
2022-01-01,38,median,5000.0
2022-01-01,39,median,5100.0
2022-01-01,40,median,5200.0
2022-01-01,41,median,5304.0
2022-01-01,42,median,5404.0
2022-01-01,43,median,5512.0
2022-01-01,44,median,5618.0
2022-01-01,45,median,5718.0
2022-01-01,46,median,5822.0
2022-01-01,47,median,5934.0
2022-01-01,48,median,6055.0
2022-01-01,49,median,6172.0
2022-01-01,50,median,6285.0
2022-01-01,51,median,6398.0
2022-01-01,52,median,6517.0
2022-01-01,53,median,6644.0
2022-01-01,54,median,6780.0
2022-01-01,55,median,6908.0
2022-01-01,56,median,7048.0
2022-01-01,57,median,7185.0
2022-01-01,58,median,7325.0
2022-01-01,59,median,7467.0
2022-01-01,60,median,7623.0
2022-01-01,61,median,7772.0
2022-01-01,62,median,7932.0
2022-01-01,63,median,8092.0
2022-01-01,64,median,8260.0
2022-01-01,65,median,8431.0
2022-01-01,66,median,8602.0
2022-01-01,67,median,8789.0
2022-01-01,68,median,8965.0
2022-01-01,69,median,9157.0
2022-01-01,70,median,9351.0
2022-01-01,71,median,9555.0
2022-01-01,72,median,9769.0
2022-01-01,73,median,9991.0
