date,state,type,staff
2021-01-01,Perak,nurse_community,1818
2022-01-01,Perak,nurse_community,1966
2014-01-01,Perlis,all,1581
2015-01-01,Perlis,all,1721
2016-01-01,Perlis,all,1840
2017-01-01,Perlis,all,1882
2018-01-01,Perlis,all,1914
2019-01-01,Perlis,all,1994
2020-01-01,Perlis,all,10665
2021-01-01,Perlis,all,2100
2022-01-01,Perlis,all,2116
2014-01-01,Perlis,dentist,67
2015-01-01,Perlis,dentist,71
2016-01-01,Perlis,dentist,89
2017-01-01,Perlis,dentist,109
2018-01-01,Perlis,dentist,135
2019-01-01,Perlis,dentist,148
2020-01-01,Perlis,dentist,134
2021-01-01,Perlis,dentist,145
2022-01-01,Perlis,dentist,141
2014-01-01,Perlis,doctor,419
2015-01-01,Perlis,doctor,434
2016-01-01,Perlis,doctor,483
2017-01-01,Perlis,doctor,525
2018-01-01,Perlis,doctor,543
2019-01-01,Perlis,doctor,599
2020-01-01,Perlis,doctor,749
2021-01-01,Perlis,doctor,644
2022-01-01,Perlis,doctor,654
2014-01-01,Perlis,nurse,746
2015-01-01,Perlis,nurse,870
2016-01-01,Perlis,nurse,923
2017-01-01,Perlis,nurse,913
2018-01-01,Perlis,nurse,906
2019-01-01,Perlis,nurse,914
2020-01-01,Perlis,nurse,9465
2021-01-01,Perlis,nurse,1013
2022-01-01,Perlis,nurse,998
2014-01-01,Perlis,nurse_community,349
2015-01-01,Perlis,nurse_community,346
2016-01-01,Perlis,nurse_community,345
2017-01-01,Perlis,nurse_community,335
2018-01-01,Perlis,nurse_community,330
2019-01-01,Perlis,nurse_community,333
2020-01-01,Perlis,nurse_community,317
2021-01-01,Perlis,nurse_community,298
2022-01-01,Perlis,nurse_community,323
2014-01-01,Pulau Pinang,all,6427
2015-01-01,Pulau Pinang,all,6505
2016-01-01,Pulau Pinang,all,6769
2017-01-01,Pulau Pinang,all,7506
2018-01-01,Pulau Pinang,all,7651
2019-01-01,Pulau Pinang,all,7511
2020-01-01,Pulau Pinang,all,10600
2021-01-01,Pulau Pinang,all,8137
2022-01-01,Pulau Pinang,all,8192
2014-01-01,Pulau Pinang,dentist,228
2015-01-01,Pulau Pinang,dentist,239
2016-01-01,Pulau Pinang,dentist,276
2017-01-01,Pulau Pinang,dentist,357
2018-01-01,Pulau Pinang,dentist,420
2019-01-01,Pulau Pinang,dentist,421
2020-01-01,Pulau Pinang,dentist,437
2021-01-01,Pulau Pinang,dentist,438
2022-01-01,Pulau Pinang,dentist,431
2014-01-01,Pulau Pinang,doctor,2178
2015-01-01,Pulau Pinang,doctor,1831
